pointDistance, pathLength, DFSVisit, BFSVisit, AStarVisit,,,,,,,,,,,,,
140.00714,2399,5594,5141,4374,,,,,,,,,,,,,
140.00714,1791,2402,3300,9249,,,,,,,,,,,,,
140.00714,2889,4605,6994,7883,,,,,,,,,,,,,
140.00714,2117,3119,3985,9315,,,,,,,,,,,,,
140.00714,2845,7263,6355,3304,,,,,,,,,,,,,
140.00714,2463,8892,4546,9109,,,,,,,,,,,,,
140.00714,1259,8866,2863,3377,,,,,,,,,,,,,
140.00714,3143,7193,9011,8654,,,,,,,,,,,,,
140.00714,3383,7459,8426,7927,,,,,,,,,,,,,
140.00714,3021,6437,8837,6603,,,,,,,,,,,,,
140.00714,2513,4064,6009,8354,,,,,,,,,,,,,
140.00714,1313,7764,2295,3600,,,,,,,,,,,,,
140.00714,3173,7393,8899,8599,,,,,,,,,,,,,
140.00714,2279,8497,5090,3087,,,,,,,,,,,,,
140.00714,2507,4573,6896,8922,,,,,,,,,,,,,
140.00714,3131,4669,6334,8380,,,,,,,,,,,,,
140.00714,1683,9619,2971,9756,,,,,,,,,,,,,
140.00714,2521,6670,6301,3765,,,,,,,,,,,,,
140.00714,3601,5835,8382,5065,,,,,,,,,,,,,
140.00714,2041,5108,5607,7283,,,,,,,,,,,,,
140.00714,1919,8147,4556,3038,,,,,,,,,,,,,
140.00714,1735,8798,3393,2100,,,,,,,,,,,,,
140.00714,2921,7110,8354,5368,,,,,,,,,,,,,
140.00714,2901,6860,9233,8845,,,,,,,,,,,,,
140.00714,2313,3082,4247,3512,,,,,,,,,,,,,
140.00714,2895,7662,6296,8733,,,,,,,,,,,,,
140.00714,2101,1099,4770,3692,,,,,,,,,,,,,
140.00714,1219,9809,2660,9593,,,,,,,,,,,,,
140.00714,2989,3901,6392,6871,,,,,,,,,,,,,
140.00714,1045,1302,2560,9627,,,,,,,,,,,,,
140.00714,3527,6475,9027,8392,,,,,,,,,,,,,
140.00714,3261,9036,9596,8901,,,,,,,,,,,,,
140.00714,1641,8414,8982,2826,,,,,,,,,,,,,
140.00714,2339,3819,4778,7145,,,,,,,,,,,,,
140.00714,2507,8855,5926,9020,,,,,,,,,,,,,
140.00714,4337,8435,9950,8251,,,,,,,,,,,,,
140.00714,3567,7438,9215,5188,,,,,,,,,,,,,
140.00714,1315,8069,1964,3191,,,,,,,,,,,,,
140.00714,3595,5174,8126,5103,,,,,,,,,,,,,
140.00714,2775,8773,5576,3439,,,,,,,,,,,,,
140.00714,2837,8725,5928,8747,,,,,,,,,,,,,
140.00714,3537,7449,8242,5169,,,,,,,,,,,,,
140.00714,1405,1752,3184,8166,,,,,,,,,,,,,
140.00714,2853,9058,6951,4981,,,,,,,,,,,,,
140.00714,1551,2651,3422,1821,,,,,,,,,,,,,
140.00714,4449,7259,9651,6569,,,,,,,,,,,,,
140.00714,1683,8807,3541,9392,,,,,,,,,,,,,
140.00714,3519,7187,7853,5538,,,,,,,,,,,,,
140.00714,1599,1836,3172,1968,,,,,,,,,,,,,
140.00714,4313,6294,9857,8073,,,,,,,,,,,,,
140.00714,4115,3702,9990,6941,,,,,,,,,,,,,
140.00714,3161,7342,7764,6781,,,,,,,,,,,,,
140.00714,2477,8587,5526,7102,,,,,,,,,,,,,
140.00714,2939,4722,7449,4534,,,,,,,,,,,,,
140.00714,3151,4297,7355,4606,,,,,,,,,,,,,
140.00714,1565,6083,2901,5167,,,,,,,,,,,,,
140.00714,2117,5171,8741,3188,,,,,,,,,,,,,
140.00714,1689,2042,2984,9580,,,,,,,,,,,,,
140.00714,2377,8270,6484,6089,,,,,,,,,,,,,
140.00714,1617,2166,4845,4151,,,,,,,,,,,,,
140.00714,2543,3665,6595,6010,,,,,,,,,,,,,
140.00714,1535,8431,7345,2908,,,,,,,,,,,,,
140.00714,2257,6243,4170,6079,,,,,,,,,,,,,
140.00714,2693,4148,5589,3821,,,,,,,,,,,,,
140.00714,1745,8944,3848,2650,,,,,,,,,,,,,
140.00714,2903,4823,6619,5789,,,,,,,,,,,,,
140.00714,2833,5555,6238,3619,,,,,,,,,,,,,
140.00714,3093,5877,7814,7336,,,,,,,,,,,,,
140.00714,2551,6123,9516,9263,,,,,,,,,,,,,
140.00714,3457,7170,9077,6757,,,,,,,,,,,,,
140.00714,2815,8975,6748,7747,,,,,,,,,,,,,
140.00714,2067,8456,4137,3727,,,,,,,,,,,,,
140.00714,2757,3468,7083,3376,,,,,,,,,,,,,
140.00714,1675,9489,2889,6897,,,,,,,,,,,,,
140.00714,2491,3617,5550,8387,,,,,,,,,,,,,
140.00714,3745,7673,9666,7782,,,,,,,,,,,,,
140.00714,1789,8884,3555,3106,,,,,,,,,,,,,
140.00714,1541,5938,2493,1876,,,,,,,,,,,,,
140.00714,1199,4666,1594,9934,,,,,,,,,,,,,
140.00714,1195,7528,1960,9784,,,,,,,,,,,,,
140.00714,3959,7802,9813,8719,,,,,,,,,,,,,
140.00714,1371,1620,3239,7165,,,,,,,,,,,,,
140.00714,1657,2371,3161,9655,,,,,,,,,,,,,
140.00714,1737,6773,3222,2185,,,,,,,,,,,,,
140.00714,1359,9695,3108,9423,,,,,,,,,,,,,
140.00714,3665,8298,7493,6195,,,,,,,,,,,,,
140.00714,4363,7034,9478,7426,,,,,,,,,,,,,
