pointDistance, pathLength, DFSVisit, BFSVisit, AStarVisit
0,1,0,1,1
0,1,0,1,1
1,2,9929,2,9930
1,102,320,243,336
1,18,8088,45,18
1.4142135,61,174,255,9851
1.4142135,3,4,5,9
2,13,12,26,13
2,3597,890,2031,6272
2,21,107,46,9910
2,5,4,8,5
2,5,4,9,9416
2.236068,14,29,37,30
2.236068,12,21,21,18
2.236068,14,402,27,403
2.236068,4,4992,7,4
2.236068,4,3865,6,3866
2.236068,4,4,8,4
2.236068,22,2723,59,7296
2.236068,8,17,21,19
2.236068,94,114,290,113
2.236068,6,5,11,6
2.236068,4,118,8,118
2.828427,205,219,714,7521
2.828427,11,9975,26,10000
3,36,258,122,264
3,182,219,497,3550
3,6,1322,12,6
3.1622777,257,412,633,676
3.1622777,49,132,136,105
3.1622777,9,7094,16,9
3.1622777,563,672,1357,768
3.1622777,9,9998,15,10000
3.1622777,5,7658,8,5
3.6055512,92,110,331,9773
3.6055512,20,4588,52,4587
3.6055512,16,4954,31,4955
3.6055512,14,1513,42,8485
3.6055512,532,884,1786,2439
3.6055512,12,9994,27,9994
3.6055512,6,5,12,6
4,29,28,77,3917
4,649,1509,2065,1466
4,17,29,35,18
4,13,12,24,13
4.1231055,34,423,112,9429
4.1231055,22,21,58,274
4.1231055,312,1405,1327,2518
4.1231055,204,276,898,6897
4.1231055,96,102,240,3484
4.1231055,186,8206,687,9497
4.1231055,62,63,189,5754
4.1231055,10,31,24,12
4.2426405,19,19,35,25
4.2426405,7,6,17,7
4.2426405,123,328,585,197
4.472136,2275,7826,8256,8192
4.472136,141,9965,539,189
4.472136,271,402,967,9930
4.472136,361,3378,2066,9792
4.472136,21,9947,62,9946
4.472136,149,3915,490,3862
4.472136,553,9999,33,605
5,180,202,569,212
5,62,159,217,141
5,16,15,33,9921
5,18,17,41,2522
5,186,529,775,8446
5,10,31,25,10
5,8,141,17,9095
5.0990195,1885,167,480,2506
5.0990195,13,7198,36,10000
5.0990195,157,173,403,190
5.0990195,167,1649,576,1645
5.0990195,109,164,502,156
5.0990195,243,331,597,9578
5.0990195,7,6,8,9
5.0990195,175,3892,719,8684
5.0990195,9,651,24,9351
5.3851647,920,2592,3556,1036
5.3851647,2270,3116,6979,5729
5.656854,21,9965,46,22
5.656854,35,1983,106,1966
5.656854,15,130,56,142
5.8309517,11,8078,21,12
5.8309517,47,221,156,9995
5.8309517,211,333,1162,9871
5.8309517,51,6415,133,6417
5.8309517,51,6686,98,52
5.8309517,209,271,616,5140
5.8309517,23,22,48,2558
5.8309517,101,9904,406,114
5.8309517,141,546,287,163
5.8309517,375,398,600,430
6,97,9262,402,9316
6,35,36,111,289
6.0827627,430,6742,1991,3802
6.0827627,80,172,398,9831
6.0827627,262,1283,695,278
6.0827627,1614,7096,6743,3034
6.0827627,74,112,256,108
6.0827627,32,9468,96,9461
6.0827627,108,1281,361,8829
6.0827627,1144,2507,4310,9143
6.0827627,718,1245,3872,9720
6.0827627,496,5324,1789,531
6.0827627,20,155,62,156
6.3245554,861,1632,2920,953
6.3245554,17,21,37,1761
6.3245554,583,5367,1686,5242
6.3245554,309,1870,1853,6743
6.3245554,119,6990,486,2695
6.3245554,17,17,49,122
6.3245554,223,9945,845,9850
6.3245554,117,5583,316,131
6.4031243,344,9544,2033,441
6.4031243,28,229,46,236
6.4031243,78,9911,174,88
6.4031243,18,9991,57,21
6.4031243,3558,1836,6531,6551
6.708204,34,5631,87,34
6.708204,216,9584,921,348
6.708204,1730,3053,7789,3173
7,164,236,382,7623
7,140,2651,475,159
7.071068,51,8781,160,51
7.071068,21,33,54,33
7.071068,101,172,302,101
7.071068,17,32,47,17
7.071068,19,21,47,9997
7.071068,2179,4887,7089,9139
7.071068,25,33,85,31
7.071068,53,8511,171,68
7.071068,1231,1679,2224,1663
7.071068,21,7438,53,21
7.071068,1115,2843,6825,8431
7.071068,37,58,110,59
7.071068,17,16,36,6373
7.2111025,2107,2579,5775,6334
7.2111025,289,4314,1189,4248
7.2111025,1971,7367,7147,5982
7.2111025,69,437,200,435
7.2111025,23,22,46,5542
7.28011,528,797,1037,9866
7.28011,38,37,111,38
7.28011,218,9028,516,263
7.28011,32,237,85,239
7.28011,198,298,510,227
7.28011,82,110,136,92
7.28011,330,683,1172,5683
7.615773,15,9841,36,15
7.615773,111,329,400,9944
7.615773,1055,9145,5480,4091
7.615773,83,8416,280,8309
7.615773,1955,2510,9314,8496
7.81025,80,3988,256,3989
7.81025,602,1700,3000,1219
7.81025,916,4222,3797,1241
7.81025,138,3110,419,159
7.81025,196,1966,741,9848
7.81025,238,287,686,6741
7.81025,302,6560,1361,3718
7.81025,392,657,954,9637
7.81025,30,8260,67,8261
7.81025,1894,8056,6127,2515
8,137,9962,238,173
8.062258,3100,7516,151,7832
8.062258,48,48,133,7583
8.062258,146,584,872,9439
8.062258,110,130,298,7606
8.062258,1422,9148,4513,1801
8.062258,44,48,135,9992
8.062258,94,271,240,9818
8.062258,2508,8016,8002,6594
8.062258,1324,2473,3283,7523
8.062258,114,1967,354,352
8.062258,72,506,229,543
8.062258,414,2113,2063,2117
8.246211,25,9988,57,9992
8.246211,221,393,409,242
8.246211,29,28,58,35
8.246211,1713,7275,9695,8357
8.246211,23,98,49,39
8.246211,745,7487,2713,7005
8.246211,17,16,34,17
8.246211,1703,5722,5016,3463
8.246211,27,9882,46,27
8.485281,95,909,292,9187
8.485281,123,386,436,172
8.485281,27,26,84,64
8.485281,433,9261,1712,9530
8.5440035,108,9840,317,9900
8.5440035,26,25,57,9973
8.5440035,618,9271,1935,9308
8.5440035,82,7746,172,7747
8.5440035,108,1446,315,1480
8.602325,2833,7113,3553,9083
8.602325,45,44,158,6491
8.602325,87,9987,285,9864
8.602325,45,372,142,373
8.602325,1867,6060,8987,4656
8.602325,735,3666,3836,1203
8.944272,247,2561,665,284
8.944272,89,9040,231,123
8.944272,61,60,173,62
8.944272,99,310,367,130
8.944272,81,1205,298,1204
9,42,9939,171,9985
9,24,23,55,9901
9,456,1881,2102,9829
9.055386,3285,6905,9896,7512
9.055386,71,90,210,6818
9.055386,289,317,989,9424
9.055386,69,72,142,73
9.219544,452,1968,1502,1991
9.219544,130,157,483,190
9.219544,398,9124,1306,1363
9.219544,28,9962,57,33
9.219544,186,9789,374,384
9.219544,186,1816,608,1824
9.219544,1802,7311,5452,6465
9.219544,158,176,560,911
9.219544,132,316,680,585
9.219544,198,9974,578,1383
9.219544,28,29,63,30
9.219544,232,264,908,554
9.219544,40,45,64,405
9.219544,348,3155,932,3146
9.433981,22,9675,69,9691
9.433981,168,428,587,1807
9.433981,494,9329,2443,677
9.433981,38,3945,151,38
9.433981,34,209,124,34
9.433981,200,366,779,312
9.433981,24,9971,64,24
9.433981,422,608,2734,9813
9.433981,306,9898,961,6227
9.433981,90,5954,213,93
9.486833,2915,7417,7950,6796
9.486833,55,297,184,62
9.486833,93,99,171,1982
9.486833,63,297,154,69
9.486833,2055,6030,7124,3087
9.486833,519,9158,2515,1373
9.486833,225,234,1092,6757
9.848858,38,38,102,53
9.848858,1432,5392,6268,9412
9.848858,2650,5103,7133,4903
9.848858,386,471,1367,636
9.848858,1384,2483,4135,2509
9.848858,1500,2218,8593,3497
9.899495,29,40,89,2192
10,217,303,682,417
10,123,132,388,7316
10,91,6724,410,2151
10,455,8555,2276,9811
10,3011,9144,6879,4150
10,191,3448,584,238
10,299,659,1041,331
10,57,8457,140,57
10,305,565,1118,647
10,369,482,1693,9336
10.049875,2500,3557,6147,3295
10.049875,36,8120,78,8123
10.049875,2844,8724,7499,7546
10.049875,64,3446,151,3447
10.049875,82,94,215,2160
10.049875,184,199,481,7345
10.049875,3898,7429,9931,7151
10.049875,220,2434,694,2496
10.198039,321,8456,1442,8306
10.198039,33,44,69,423
10.198039,53,52,171,6532
10.198039,17,21,41,22
10.29563,209,7475,879,2823
