pointDistance, pathLength, DFSVisit, BFSVisit, AStarVisit
0,1,0,1,1
1,4,2747,6,4
1,12,7577,38,12
1.4142135,3,286,5,287
1.4142135,205,370,653,569
1.4142135,7,17,16,18
1.4142135,3,6387,5,3
1.4142135,3,2,5,5629
2,2655,3695,9666,8773
2,89,88,406,95
2,4823,50,120,6896
2.236068,4,769,7,4
2.236068,4,4168,7,4169
2.236068,106,9103,321,9202
2.236068,126,7156,269,2931
3,20,9991,66,23
3,4,3,9,8648
3,18,22,64,18
3,6,5,11,6079
3.1622777,5,5,10,5
3.1622777,45,5623,101,5607
3.1622777,13,9992,22,9981
3.1622777,221,360,570,442
3.1622777,195,234,355,295
3.1622777,17,58,53,74
3.1622777,7,9965,19,8
3.1622777,489,5719,1929,6094
3.1622777,199,8524,466,269
3.1622777,7,6,12,7
3.1622777,2803,8266,9433,4551
3.1622777,11,352,23,17
3.1622777,11,10,28,9996
3.1622777,281,9588,1290,4012
3.1622777,15,14,32,17
3.1622777,9,9989,26,61
3.1622777,29,9903,91,9999
3.1622777,195,376,654,2282
3.6055512,1066,9578,1909,1561
3.6055512,16,1006,40,18
3.6055512,78,81,175,84
3.6055512,42,41,98,46
3.6055512,1688,4966,5416,4764
4,121,6492,371,124
4,1989,6889,2476,2922
4,59,170,280,137
4,83,2695,381,7841
4,27,7585,95,2506
4.1231055,262,9973,923,9975
4.1231055,656,795,3518,9773
4.1231055,16,21,44,8315
4.1231055,28,59,84,36
4.1231055,338,2472,1284,427
4.1231055,10,8503,22,8500
4.1231055,534,4591,2378,580
4.1231055,392,1038,2141,476
4.1231055,28,9294,90,30
4.2426405,19,29,50,139
4.2426405,17,16,45,17
4.2426405,135,147,471,3906
4.2426405,2543,5376,7219,6529
4.2426405,2629,4858,9212,3604
4.472136,79,9991,407,9762
4.472136,11,9475,22,9496
4.472136,3209,9826,1094,5635
4.472136,1649,2223,233,8633
4.472136,2577,8421,7720,4824
4.472136,19,18,49,20
4.472136,221,354,618,343
4.472136,15,39,33,16
4.472136,13,24,35,9906
4.472136,399,517,1226,505
4.472136,11,8646,21,8647
4.472136,1743,8012,6829,3265
5,24,2432,72,2941
5,168,8498,495,8497
5,100,1920,282,1892
5,778,1320,4030,4684
5,736,8702,2528,1424
5,42,4733,149,5293
5,72,8649,274,1415
5,42,70,153,9858
5,148,8551,575,8968
5,32,9955,123,74
5,96,9936,381,9946
5,292,9970,904,4888
5.0990195,113,8506,473,9578
5.0990195,281,696,773,9396
5.0990195,13,13,38,14
5.0990195,49,357,99,62
5.0990195,7,275,12,7
5.0990195,2329,5721,6257,5682
5.0990195,201,310,623,306
5.0990195,71,282,270,9920
5.0990195,15,17,36,6717
5.3851647,32,31,88,181
5.3851647,10,62,25,26
5.3851647,398,9759,1847,9405
5.3851647,110,115,383,9725
5.3851647,3010,5006,9568,8777
5.3851647,122,170,375,156
5.3851647,442,518,1331,3380
5.3851647,178,1480,737,1462
5.3851647,96,9860,349,9970
5.3851647,1006,2281,4455,2495
5.656854,693,9615,3290,9776
5.656854,665,5264,2396,1368
5.656854,15,39,53,9970
5.656854,29,35,90,9971
5.656854,313,9510,1271,9892
5.8309517,11,9956,21,14
5.8309517,141,207,586,190
5.8309517,35,38,79,37
5.8309517,35,9761,91,36
5.8309517,139,373,369,208
5.8309517,57,4321,113,4322
5.8309517,19,22,48,20
5.8309517,19,21,44,1680
5.8309517,605,3856,2769,868
5.8309517,1653,3157,4559,2710
5.8309517,17,30,59,129
5.8309517,379,402,1130,614
6,35,42,60,278
6,99,99,235,6199
6,17,16,36,17
6.0827627,724,2265,1687,2358
6.0827627,106,9792,383,9845
6.0827627,878,1350,4793,3892
6.0827627,1256,3309,4623,1540
6.0827627,14,9797,36,14
6.0827627,52,9983,184,85
6.3245554,607,2522,3361,8017
6.3245554,141,9067,395,178
6.3245554,35,9949,143,71
6.3245554,187,5021,799,288
6.3245554,9,7365,16,7366
6.3245554,1355,7967,4215,2825
6.3245554,55,59,168,8302
6.4031243,24,9810,69,211
6.4031243,102,9953,313,242
6.4031243,20,9167,70,9174
6.4031243,180,187,588,2331
6.4031243,2212,273,518,6473
6.708204,86,4234,227,99
6.708204,134,9317,667,892
6.708204,476,875,1563,7383
6.708204,12,1446,36,14
6.708204,70,78,132,412
6.708204,416,5312,2055,489
6.708204,36,37,54,41
7,70,114,220,78
7.071068,263,8180,1224,8228
7.071068,1115,8861,4557,7745
7.071068,243,1690,1192,329
7.071068,55,9981,152,109
7.071068,1465,8978,7775,6328
7.071068,51,94,208,9789
7.071068,713,1011,3638,1498
7.071068,13,314,27,273
7.071068,131,9575,448,554
7.071068,27,27,57,28
7.2111025,653,9658,1778,3055
7.2111025,253,9580,661,460
7.2111025,11,10,25,9997
7.2111025,107,5244,364,9950
7.28011,70,6420,236,6440
